level,question_id,question_text,question_hint,question_answer,severity,unlock_status_xp_needed
7,L7_Q1,"In the Vault of Stability, Zero finds realities that look calm now but were once exposed to impossible intermediate states during massive transformations touching many subsystems. These realities show no permanent sealing or reversal records, yet observers briefly saw them change. Identify such realities.","Look for visibility without resolution.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN update_steps us ON u.update_id = us.update_id JOIN read_logs rd ON rd.reality_id = r.id LEFT JOIN commit_logs cl ON u.update_id = cl.update_id LEFT JOIN rollback_logs rb ON u.update_id = rb.update_id WHERE rd.read_time BETWEEN u.start_time AND u.end_time AND cl.update_id IS NULL AND rb.update_id IS NULL AND us.table_name IS NOT NULL;","normal",0
7,L7_Q2,"Pixel notices that some transformations appeared to finish everywhere except in the systemâ€™s memory of truth. Every subsystem reports success, yet the reality state never stabilized. Identify these deceptive transformations.","Execution everywhere does not mean reality accepted it.","SELECT u.update_id FROM updates u JOIN update_steps us ON u.update_id = us.update_id LEFT JOIN commit_logs cl ON u.update_id = cl.update_id GROUP BY u.update_id HAVING COUNT(DISTINCT us.subsystem) >= 8 AND cl.update_id IS NULL;","normal",1100
7,L7_Q3,"Nyx suspects realities where attempts to recover from failure caused deeper instability because only some subsystems reverted while others stayed altered. Identify transformations where recovery evidence exists but structural traces remain.","Partial recovery is worse than none.","SELECT rb.update_id FROM rollback_logs rb JOIN update_steps us ON rb.update_id = us.update_id GROUP BY rb.update_id HAVING COUNT(us.step_id) > rb.steps_rolled_back;","normal",2200
7,L7_Q4,"Observers recorded conflicting versions of the same reality at the same moment. Zero believes this happened because multiple overlapping transformations touched shared subsystems while being observed. Identify the affected realities.","Concurrency plus visibility fractures truth.","SELECT DISTINCT u1.reality_id FROM updates u1 JOIN updates u2 ON u1.reality_id = u2.reality_id AND u1.update_id <> u2.update_id JOIN update_steps s1 ON u1.update_id = s1.update_id JOIN update_steps s2 ON u2.update_id = s2.update_id JOIN read_logs rd ON rd.reality_id = u1.reality_id WHERE s1.subsystem = s2.subsystem AND rd.read_time BETWEEN u1.start_time AND u1.end_time AND rd.read_time BETWEEN u2.start_time AND u2.end_time;","normal",3300
7,L7_Q5,"Pixel uncovers silent corruption where one massive transformation erased the effects of another without any trace of conflict. Both touched many tables, overlapped in time, and shared subsystems, but only one outcome survived. Identify the realities where this happened.","Lost truth leaves no rollback footprint.","SELECT DISTINCT u1.reality_id FROM updates u1 JOIN updates u2 ON u1.reality_id = u2.reality_id AND u1.update_id <> u2.update_id JOIN update_steps s1 ON u1.update_id = s1.update_id JOIN update_steps s2 ON u2.update_id = s2.update_id WHERE s1.subsystem = s2.subsystem AND u1.start_time < u2.end_time AND u2.start_time < u1.end_time AND u1.update_id NOT IN (SELECT update_id FROM rollback_logs) AND u2.update_id NOT IN (SELECT update_id FROM rollback_logs);","normal",4400
7,L7_Q6,"Nyx finds realities whose history oscillates wildly: forward jumps, backward corrections, and reapplications, all within a short span. These realities experienced heavy concurrent transformations. Identify them.","Truth should not bounce.","SELECT v.reality_id FROM version_logs v GROUP BY v.reality_id HAVING COUNT(DISTINCT v.version_direction) > 1;","normal",5500
7,L7_Q7,"Zero investigates deadlocks that were not simple two-way waits but complex cycles spanning many subsystems. These cycles involved at least three transformations and multiple resources. Identify one participant in such cycles.","Long cycles are the hardest to see.","SELECT l1.update_id FROM lock_waits l1 JOIN lock_waits l2 ON l1.waiting_for = l2.update_id JOIN lock_waits l3 ON l2.waiting_for = l3.update_id WHERE l3.waiting_for = l1.update_id;","normal",6600
7,L7_Q8,"Pixel detects starvation patterns where massive transformations touched many tables but remained unresolved for extreme durations while smaller changes completed around them. Identify such transformations.","Size without resolution is a warning.","SELECT u.update_id FROM updates u JOIN update_steps us ON u.update_id = us.update_id LEFT JOIN commit_logs cl ON u.update_id = cl.update_id GROUP BY u.update_id, u.wait_time HAVING COUNT(DISTINCT us.table_name) >= 9 AND u.wait_time > (SELECT AVG(wait_time) FROM updates) AND cl.update_id IS NULL;","normal",7700
7,L7_Q9,"Nyx suspects realities that look stable now but carry invisible scars: overlapping transformations, exposed intermediate states, and unresolved endings. Identify such realities.","Stability can be deceptive.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN read_logs rd ON rd.reality_id = r.id LEFT JOIN commit_logs cl ON u.update_id = cl.update_id WHERE rd.read_time BETWEEN u.start_time AND u.end_time AND cl.update_id IS NULL;","normal",8800
7,L7_Q10,"Zero must prepare an emergency isolation list: realities where transformations touched many tables, overlapped with others, were observed mid-change, and never reached a clean final state.","Only extreme cases qualify.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN update_steps us ON u.update_id = us.update_id JOIN read_logs rd ON rd.reality_id = r.id LEFT JOIN commit_logs cl ON u.update_id = cl.update_id WHERE rd.read_time BETWEEN u.start_time AND u.end_time GROUP BY r.id, u.update_id HAVING COUNT(DISTINCT us.table_name) >= 9 AND cl.update_id IS NULL;","normal",9900
7,L7_BOSS1,"BOSS FIGHT: The Vault fractures as cascading failures ripple across realities. Zero must identify realities where overlapping transformations, partial recoveries, exposed intermediate states, deadlock cycles, and unresolved endings all occurred together.","This is a multi-signal failure pattern.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN update_steps us ON u.update_id = us.update_id JOIN read_logs rd ON rd.reality_id = r.id LEFT JOIN rollback_logs rb ON u.update_id = rb.update_id LEFT JOIN commit_logs cl ON u.update_id = cl.update_id JOIN lock_waits lw ON u.update_id = lw.update_id WHERE rd.read_time BETWEEN u.start_time AND u.end_time AND cl.update_id IS NULL GROUP BY r.id, u.update_id HAVING COUNT(DISTINCT us.table_name) >= 9;","boss",11500
7,L7_BOSS2,"FINAL BOSS: The Overlord of Inconsistency hides by ensuring no single symptom is enough to condemn a reality. Only those that experienced overlapping transformations, conflicting versions, observer exposure, partial recovery, starvation, and unresolved endings can be isolated. Zero must find them.","This is a true incident postmortem.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN update_steps us ON u.update_id = us.update_id JOIN read_logs rd ON rd.reality_id = r.id JOIN version_logs v ON v.reality_id = r.id LEFT JOIN rollback_logs rb ON u.update_id = rb.update_id LEFT JOIN commit_logs cl ON u.update_id = cl.update_id WHERE rd.read_time BETWEEN u.start_time AND u.end_time AND cl.update_id IS NULL GROUP BY r.id, u.update_id HAVING COUNT(DISTINCT us.table_name) >= 9 AND COUNT(DISTINCT v.version_direction) > 1;","boss",13000